CameraLabel, X, Y, Z, Roll, Pitch, Yaw, RotX, RotY, RotZ
uhi_20210122_111150_1_00074,2780610.5009161048,539463.5611548295,5695519.658255236,-2.184709185399912,4.0699763344420505,149.14577999323782,161.24064889666388,11.061016482892787,-50.124988433964965
uhi_20210122_111150_1_00075,2780610.576826228,539463.6284769016,5695519.668624334,-2.2176155508786852,3.9909457763220786,149.33036999622823,161.12415641286856,10.959217945854814,-50.284412693655625
uhi_20210122_111150_1_00076,2780610.650045078,539463.6834014166,5695519.681688021,-2.1083709837486047,4.166148560044261,149.58370104176538,161.23649684022644,10.961977141042306,-50.564213867610704
uhi_20210122_111150_1_00077,2780610.7232309547,539463.7443320048,5695519.696097749,-2.1916732877310325,4.201419340453678,149.77259375000187,161.23615992466793,10.80907259211446,-50.71520607052416
uhi_20210122_111150_1_00078,2780610.792258033,539463.8067165416,5695519.711018963,-2.396145278026688,4.154618281247888,149.93504609841338,161.16748642965496,10.552739988244543,-50.7984272769617
uhi_20210122_111150_1_00079,2780610.8677325365,539463.8602177971,5695519.721660146,-2.2846780198397245,4.080180793114922,150.15805777534672,161.03959011703216,10.572057205851104,-51.040844578425954
uhi_20210122_111150_1_00080,2780610.933636862,539463.9100523946,5695519.736207338,-2.273596989876305,4.299252995421462,150.31883716355617,161.2223959325016,10.516793265657952,-51.203227283376194
uhi_20210122_111150_1_00081,2780610.9973841095,539463.9607825965,5695519.747620759,-2.2774691332021417,4.375296021421781,150.3235174141341,161.29709503696614,10.510323255832903,-51.20924507054465
uhi_20210122_111150_1_00082,2780611.0733252834,539464.0236208553,5695519.749937042,-2.267299327137573,3.961961918344811,150.30193489512098,160.8908915412188,10.533708247134747,-51.1766468736917
uhi_20210122_111150_1_00083,2780611.1357339537,539464.0617219664,5695519.757484291,-2.045408772907392,4.207747604019231,150.2977895655699,161.12216761246702,10.742132002029756,-51.2551457198281
uhi_20210122_111150_1_00084,2780611.188520549,539464.1190801011,5695519.761331595,-2.333668039752921,4.229732367320097,150.34304143989547,161.15191629634492,10.451352435851078,-51.20346063884814
uhi_20210122_111150_1_00085,2780611.2557746777,539464.1667097298,5695519.751410473,-2.178870969390475,4.088163990747021,150.3790571294837,160.99455243835362,10.585475234164901,-51.282836801152484
uhi_20210122_111150_1_00086,2780611.314759505,539464.2183703133,5695519.743203332,-2.2614568069320584,4.184713230739858,150.42638220390683,161.0854424376197,10.487601928184263,-51.30338540643301
uhi_20210122_111150_1_00087,2780611.3663563705,539464.2665016999,5695519.733272718,-2.3762128802784943,4.507879461386742,150.4588175425117,161.406060878146,10.362018138652038,-51.30876925570489
uhi_20210122_111150_1_00088,2780611.4179625055,539464.323511581,5695519.71611458,-2.5976764588460415,4.6285401882135675,150.51480405944844,161.52671344566008,10.128425892568588,-51.29455852045826
uhi_20210122_111150_1_00089,2780611.475204363,539464.3797802695,5695519.690423734,-2.670504447909597,4.602248013957371,150.55313875760672,161.4967390003242,10.044710552108171,-51.30571146348005
uhi_20210122_111150_1_00090,2780611.532261567,539464.4282660305,5695519.656567766,-2.5263370135395347,4.50799254739954,150.60345067475976,161.38461411343712,10.163006363143934,-51.395157762344866
uhi_20210122_111150_1_00091,2780611.5398804885,539464.434989238,5695519.641147963,-2.3853204429667128,5.845699045918109,150.70654581520867,162.68201302283248,10.238965739541268,-51.590980651341134
uhi_20210122_111150_1_00092,2780611.5908015855,539464.4824304865,5695519.59516352,-2.1880314559847682,5.555664531160942,150.81784079354742,162.3604143355036,10.386840385974649,-51.7438953099553
uhi_20210122_111150_1_00093,2780611.623333617,539464.5360586678,5695519.550747646,-2.356219348107885,5.461397686758261,150.8793367071772,162.26346422451945,10.203531586479635,-51.74574100156472
uhi_20210122_111150_1_00094,2780611.6579573383,539464.553483562,5695519.499551229,-1.84388537032789,5.858943025727798,150.9321078747585,162.61887234824368,10.666803392746,-51.96630343072523
uhi_20210122_111150_1_00095,2780611.677835905,539464.598690429,5695519.447384947,-2.168723898251242,5.9626292475297715,151.00090529120726,162.72567814045985,10.328494065405327,-51.935682602313896
uhi_20210122_111150_1_00096,2780611.710015769,539464.6227771321,5695519.380971962,-1.8824532984940543,5.981056474065835,151.10815715876893,162.70637936657204,10.559317439089595,-52.12293377728842
uhi_20210122_111150_1_00097,2780611.7288857545,539464.6610223852,5695519.309636901,-2.0090002363133475,5.987722190118072,151.2252559721808,162.6961277512563,10.392161211413782,-52.19420651877045
uhi_20210122_111150_1_00098,2780611.751619797,539464.7008302719,5695519.23232488,-2.044113476289238,5.977679443293236,151.39582009860965,162.65349546086338,10.291291184210602,-52.342360607651194
uhi_20210122_111150_1_00099,2780611.7827839996,539464.7483078929,5695519.155547561,-2.0608343127570854,6.123190469921325,151.72081285814102,162.73359204367438,10.144992954768801,-52.64532911799506
uhi_20210122_111150_1_00100,2780611.8265172835,539464.7882343219,5695519.075240125,-1.699961937384393,6.396018199256218,152.0516468805853,162.91980505395003,10.355620086499677,-53.070600888737104
uhi_20210122_111150_1_00101,2780611.861347623,539464.8377272626,5695519.007443929,-1.8396744961195812,6.944652643214666,152.31471824019278,163.42094886970474,10.112124142378354,-53.29100800299779
uhi_20210122_111150_1_00102,2780611.908942076,539464.8927117173,5695518.938539769,-2.005641077545249,7.088032591548741,152.54144854370477,163.5276185746899,9.86112032943927,-53.4586886468534
uhi_20210122_111150_1_00103,2780611.9530290538,539464.9400684598,5695518.875649342,-2.205054289346738,7.367825774111921,152.81807594520092,163.76171605287806,9.556261703382559,-53.66875172122026
uhi_20210122_111150_1_00104,2780611.9998206343,539464.9900577646,5695518.812440435,-2.393815600730904,7.415710877672467,153.13067459304358,163.75817526589327,9.249257377449043,-53.90715386224828
uhi_20210122_111150_1_00105,2780612.04717941,539465.0411015808,5695518.752005522,-2.501971910827204,7.366032762595778,153.44784627299035,163.6536580294157,9.018711031022868,-54.16826252468091
uhi_20210122_111150_1_00106,2780612.098971339,539465.089459131,5695518.69277481,-2.354651431825614,7.220956900245186,153.70616749197188,163.45457965929074,9.057815462654828,-54.44373774018892
uhi_20210122_111150_1_00107,2780612.1504682307,539465.1393350041,5695518.639931701,-2.2218309040343223,7.263036919540852,153.92279768834342,163.45009929760062,9.097321133336154,-54.6842482027423
uhi_20210122_111150_1_00108,2780612.1957941735,539465.1898407888,5695518.597160345,-2.2678960220236744,7.6871654863807946,154.01902434620902,163.85567508767255,9.009597559515683,-54.77632917645386
uhi_20210122_111150_1_00109,2780612.2766629183,539465.2544082062,5695518.5351319555,-2.0065764949319154,6.853552690366065,154.13348201137828,162.99443841685238,9.222671645348477,-54.92759931205486
uhi_20210122_111150_1_00110,2780612.3442041446,539465.3131939071,5695518.487315343,-2.04275109212081,6.6318126209004395,154.16266277713424,162.77042969990418,9.178607182165559,-54.936244952862204
uhi_20210122_111150_1_00111,2780612.408330677,539465.3696445713,5695518.443684084,-2.201791582512609,6.633237162049409,154.13780276782876,162.7839502912772,9.036731745119853,-54.86559381342347
uhi_20210122_111150_1_00112,2780612.4825479714,539465.4274824614,5695518.397286948,-2.2443760659995005,6.479200767031367,154.0588511469084,162.6474617752464,9.029740049340631,-54.773940000395186
uhi_20210122_111150_1_00113,2780612.580125507,539465.4931447171,5695518.342938788,-1.9440422967283064,5.634221932377548,154.07590346446594,161.78984307566432,9.318260511227864,-54.852847854301054
uhi_20210122_111150_1_00114,2780612.6584042124,539465.5523257457,5695518.3048867155,-1.8557360663061897,5.57005859365591,154.0667874731986,161.72316406906492,9.406478075575874,-54.87037195101527
uhi_20210122_111150_1_00115,2780612.732300715,539465.6158949308,5695518.270467081,-1.9025999978928287,5.491621677076264,154.0225986240235,161.6557333182125,9.380649360820517,-54.812028114211664
uhi_20210122_111150_1_00116,2780612.8054400897,539465.6757537669,5695518.2364890445,-1.8545177671158821,5.542225217185963,153.90750937934345,161.72476422244156,9.472249885387757,-54.72227350393456
uhi_20210122_111150_1_00117,2780612.876280641,539465.7413256892,5695518.205163113,-2.0353084207069263,5.579321163007266,153.6253300915609,161.82349584281596,9.413897448771102,-54.40456290175866
uhi_20210122_111150_1_00118,2780612.962518167,539465.7923089804,5695518.16424917,-1.5581473373374723,5.412486046598741,153.5750329510401,161.64154370733576,9.888911039657156,-54.50456835377905
uhi_20210122_111150_1_00119,2780613.040986938,539465.8528444029,5695518.131589314,-1.5525166196071956,5.471214090731589,153.46230871017613,161.7207464615363,9.939161355721565,-54.40320692549217
uhi_20210122_111150_1_00120,2780613.12487286,539465.9133309055,5695518.099771888,-1.4261230290866314,5.517081116613585,153.39824029385522,161.77141495649872,10.084616093170983,-54.385028622788525
uhi_20210122_111150_1_00121,2780613.208075353,539465.9785636587,5695518.072311745,-1.443544485273772,5.555086858279596,153.36135846049405,161.81713612184438,10.082615389051522,-54.34613856305344
uhi_20210122_111150_1_00122,2780613.2970960448,539466.0454204675,5695518.038609698,-1.3396116265623075,5.2123077978229,153.27517153793855,161.48621955553637,10.21856353927361,-54.291219344284045
